Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
12,11.358693,77.534764,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,Yes,Open well,Boiling,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
13,11.349904,77.536379,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Nil,Yes,Open well,Nil,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
14,11.356566,77.534025,1,Kothukaraveethi Thotta paguthigal,Concrete,Both,Yes,Open well,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
15,11.349707,77.536511,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,No,Open well,Boiling,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
16,11.350743,77.53676,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,Yes,Open well,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
17,11.358306,77.525217,1,Kothukaraveethi Thotta paguthigal,Concrete,Both,No,Bore well,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Ground nut, Other crops, Nil",,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
18,11.351713,77.539727,1,Kothukaraveethi Thotta paguthigal,Concrete,Nil,Yes,Open well,Nil,Yes,Yes,Nil,,"LPG, Firewood",SS pot,No,Directly to ground,Yes,Yes
19,11.350403,77.531398,1,Pillaiyarkovil Veethi Thotta paguthigal,Concrete,Both,Yes,Open well,Nil,Yes,No/ Not known,Nil,Nil,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,Yes
20,11.34697,77.536684,2,Kothukara Veethi Thottapaguthigal,Concrete,Open well,Yes,Bore well,Nil,Yes,Yes,"Banana, Corn, Ground nut",,LPG,Aluminium pot,No,Farming/ Gardening,Yes,Yes
21,11.359651,77.541872,2,Kothukara Veethi Thottapaguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,Yes,"Rice, Other crops",Sugar cane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
22,11.360083,77.537911,2,Kothukara Veethi Thottapaguthigal,Concrete,Nil,Yes,Bore well,Nil,No,,Nil,,LPG,Earthern pot,No,Farming/ Gardening,Yes,Yes
23,11.343465,77.544208,2,Kothukara Veethi Thottapaguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,Yes,"Rice, Coconut",Rice,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
24,11.360593,77.537397,2,Kothukara Veethi Thottapaguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,Yes,Rice,,LPG,SS pot,No,Directly to ground,Yes,Yes
25,11.344038,77.541342,2,Kothukara Veethi Thottapaguthigal,Concrete,Nil,No,Open well,Nil,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
26,11.354427,77.540092,2,Kothukara Veethi Thottapaguthigal,Concrete,Nil,Yes,Open well,Nil,Yes,No/ Not known,"Rice, Vegetables",Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
27,11.355412,77.539709,2,Kothukara Veethi Thottapaguthigal,Concrete,Nil,Yes,Open well,Nil,Yes,No/ Not known,Nil,Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
28,11.352932,77.543142,2,Kothukara Veethi Thottapaguthigal,Concrete,Open well,Yes,Open well,Nil,Yes,Yes,"Banana, Ground nut, Other crops",Rice,LPG,Aluminium pot,No,Farming/ Gardening,Yes,Yes
29,11.344038,77.541342,2,Kothukara Veethi Thottapaguthigal,Concrete,Open well,No,Open well,Nil,Yes,Yes,"Banana, Rice, Vegetables","Bitter guard ,lady's finger",LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
30,11.352197,77.540185,2,Kothukara Veethi Thottapaguthigal,Concrete,Open well,Yes,Open well,Nil,Yes,Yes,"Rice, Vegetables, Banana, Other crops, Corn",All vegetables,LPG,Pressure cooker,Yes,Farming/ Gardening,Yes,Yes
31,11.348356,77.561046,2,Kothukara Veethi Thottapaguthigal,Concrete,Bore well,No,Panchyat water - Piped,Personal RO,Yes,Yes,"Coconut, Banana",,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,Yes
32,,,3,Ricemill Puthur Thottapaguthigal,Concrete,Bore well,No,Bore well,Personal RO,No,,"Coconut, Vegetables, Banana, Rice",,"Firewood, LPG",Pressure cooker,No,Directly to ground,Yes,Yes
33,11.346476,77.549582,3,JJ Nagar,Concrete,Bore well,No,Panchyat water - Piped,Personal RO,Yes,No/ Not known,"Rice, Banana, Coconut",,"Firewood, LPG",Aluminium pot,No,Farming/ Gardening,Yes,Yes
34,11.346095,77.540625,3,Ricemill Puthur Thottapaguthigal,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,Yes,Yes,Other crops,Suger cane,Gobar gas,SS pot,No,Farming/ Gardening,Yes,Yes
35,,,3,JJ Nagar,Concrete,Bore well,Yes,Bore well,Boiling,Yes,Yes,Nil,Market,LPG,SS pot,No,Directly to ground,Yes,Yes
36,,,3,Ricemill Puthur Thottapaguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,Yes,Nil,Market,LPG,SS pot,No,Directly to ground,Yes,Yes
37,11.342807,77.544748,3,Ricemill Puthur Thottapaguthigal,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Banana,Banana,LPG,SS pot,Yes,Farming/ Gardening,Yes,Yes
38,,,3,JJ Nagar,Concrete,Open well,Yes,Bore well,Personal RO,Yes,Yes,Nil,Market and garden,LPG,SS pot,No,Directly to ground,Yes,Yes
39,11.345026,77.550038,3,Ricemill Puthur Thottapaguthigal,Concrete,Both,Yes,Bore well,Nil,Yes,No/ Not known,"Rice, Other crops",Rice,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
40,,,3,Ricemill Puthur Thottapaguthigal,Concrete,Open well,Yes,Open well,Boiling,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
41,11.343103,77.546857,3,Ricemill Puthur Thottapaguthigal,Concrete,Open well,Yes,Open well,Personal RO,Yes,No/ Not known,Coconut,Covonut,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
42,,,3,Ricemill Puthur Thottapaguthigal,Concrete,Open well,Yes,Open well,Boiling,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
43,11.343636,77.545883,3,Ricemill Puthur Thottapaguthigal,Concrete,Open well,Yes,Open well,Nil,Yes,No/ Not known,"Coconut, Other crops, Ground nut, Corn",Corn,LPG,SS pot,Yes,Directly to ground,Yes,Yes
44,11.339613,77.548861,3,Ricemill Puthur Thottapaguthigal,Concrete,Open well,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,Vegetables,,LPG,Pressure cooker,Yes,Farming/ Gardening,Yes,Yes
45,11.346095,77.540625,3,JJ Nagar,Concrete,Open well,Yes,Panchayat water - Overhead tank,Boiling,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
46,11.346095,77.540625,3,JJ Nagar,Concrete,Open well,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,"Coconut, Corn",Nil,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
47,11.342525,77.544407,3,Ricemill Puthur Thottapaguthigal,Concrete,Bore well,Yes,Panchayat water - Overhead tank,Boiling,Yes,Yes,Banana,Banana,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
48,,,3,Ricemill Puthur Thottapaguthigal,Concrete,Open well,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
49,11.345177,77.551732,3,JJ Nagar,Concrete,Nil,No,Panchyat water - Piped,Personal RO,Yes,Yes,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
50,11.346597,77.549624,3,JJ Nagar,Concrete,Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,"Banana, Coconut, Vegetables",Tomato,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
51,11.346848,77.553157,3,JJ Nagar,Concrete,Bore well,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,Coconut,Coconut,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
52,11.346095,77.540625,3,JJ Nagar,Concrete,Open well,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,"Rice, Ground nut, Corn, Banana, Coconut",Nil,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,Yes
53,,,3,Ricemill Puthur Thottapaguthigal,Concrete,Nil,No,Panchyat water - Piped,Personal RO,Yes,No/ Not known,Nil,,"LPG, Firewood",Aluminium pot,No,Directly to ground,Yes,Yes
54,11.341694,77.538352,4,Pattaththarasiamman Kovil Street,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables",,"Firewood, LPG",SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
55,11.341419,77.537865,4,Pattaththarasiamman Kovil Street,Concrete,Open well,Yes,Open well,Nil,No,,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
56,11.359916,77.537582,4,Pattaththarasiamman Kovil Street,Concrete,Open well,No,Open well,Nil,No,,Nil,,LPG,SS pot,Yes,Directly to ground,Yes,Yes
57,,,4,Pattaththarasiamman Kovil Street,Concrete,Nil,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana",Lady fingers,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,No,No
58,,,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchayat water - Overhead tank,Nil,Yes,No/ Not known,"Rice, Vegetables, Banana, Coconut",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
59,11.341338,77.537967,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchayat water - Syntex tank,Personal RO,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Ladies finger,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,No,No
60,11.341443,77.538388,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Rice",No,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
61,,,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchyat water - Piped,Personal RO,Yes,Yes,"Rice, Vegetables, Coconut, Banana","Sugarcane,banana",LPG,Aluminium pot,No,Farming/ Gardening,No,No
62,11.342211,77.538309,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,SS pot,Yes,Directly to soakpit/ sewage canal,No,No
63,11.341393,77.538138,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
64,11.34206,77.53786,4,Pattaththarasiamman Kovil Street,Concrete,Open well,No,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana","Sugarcane,banana",LPG,Aluminium pot,Yes,Directly to ground,No,No
65,11.341446,77.538372,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
66,11.341463,77.53805,4,Pattaththarasiamman Kovil Street,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
67,11.341989,77.53789,4,Pattaththarasiamman Kovil Street,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,"Rice, Vegetables, Banana",Sugarcane,LPG,Aluminium pot,No,Directly to ground,No,No
68,,,5,Pattatharasiamman kovil street,Concrete,Bore well,No,Bore well,Nil,Yes,No/ Not known,Vegetables,,"Firewood, LPG",Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
69,11.341453,77.537652,5,Pattatharasiamman kovil street,Concrete,Nil,No,Open well,Boiling,No,,Vegetables,Spinach,"Firewood, LPG",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
70,11.341146,77.537524,5,Pattatharasiamman kovil street,Concrete,Open well,Yes,Open well,Personal RO,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
71,11.341441,77.537563,5,Pattatharasiamman kovil street,Concrete,Nil,Yes,Open well,Boiling,Yes,No/ Not known,Nil,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
72,11.340822,77.536868,5,Gandhi Veethi,Concrete,Open well,Yes,Open well,Boiling,Yes,Yes,"Coconut, Banana",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
73,11.340863,77.535674,5,Gandhi Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut","Sugarcane,lady's finger",LPG,SS pot,Yes,Directly to ground,Yes,No
74,11.341244,77.536883,5,Gandhi Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Coconut,CURRY LEAVES,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
75,,,5,Pattatharasiamman kovil street,Concrete,Open well,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Banana, Rice",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
76,,,5,Gandhi Veethi,Concrete,Open well,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Coconut, Banana, Vegetables",,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
77,11.341299,77.536828,5,Gandhi Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
78,11.341342,77.536768,5,Gandhi Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
79,11.34154,77.536873,5,Gandhi Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
80,11.341467,77.537078,5,Gandhi Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
81,,,6,Pillaiyarkovil Veethi,Concrete,Both,Yes,Bore well,Nil,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
82,11.343394,77.536996,6,Pillaiyarkovil Veethi,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,"Rice, Banana, Corn, Other crops",Corn,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
83,11.340535,77.534655,6,Pillaiyarkovil Veethi,Concrete,Bore well,Yes,Bore well,Nil,No,,Nil,No,LPG,SS pot,No,Directly to ground,Yes,Yes
84,,,6,Pillaiyarkovil Veethi,Concrete,Open well,No,Open well,Nil,Yes,Yes,Nil,Nill,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
85,11.342173,77.537148,6,Pillaiyarkovil Veethi,Concrete,Bore well,Yes,Panchayat water - Overhead tank,Boiling,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
86,11.342533,77.537089,6,Pillaiyarkovil Veethi,Concrete,Both,Yes,Panchayat water - Overhead tank,Personal RO,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops","Ladies finger, Carrot , beans , etc",LPG,SS pot,Yes,Directly to ground,Yes,Yes
87,,,6,Pillaiyarkovil Veethi,Concrete,Open well,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
88,11.344042,77.537025,6,Pillaiyarkovil Veethi,Concrete,Both,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
89,11.342897,77.536976,6,Pillaiyarkovil Veethi,Concrete,Both,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
90,11.343804,77.537618,6,Pillaiyarkovil Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Personal RO,No,,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
91,11.342435,77.537169,6,Pillaiyarkovil Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Boiling,No,,Coconut,Nil,LPG,Pressure cooker,Yes,Directly to ground,Yes,Yes
92,11.341369,77.536857,6,Pillaiyarkovil Veethi,Concrete,Both,Yes,Panchyat water - Piped,Personal RO,Yes,No/ Not known,Banana,Banana,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
93,11.342601,77.536866,6,Pillaiyarkovil Veethi,Concrete,Both,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,Other crops,Nil,LPG,SS pot,Yes,Directly to ground,Yes,Yes
94,11.343465,77.544208,6,Pillaiyarkovil Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Banana, Corn, Other crops",Sugar cane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
95,11.343173,77.537673,6,Pillaiyarkovil Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
96,11.343763,77.537499,6,Pillaiyarkovil Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Personal RO,No,,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
97,11.342917,77.536097,7,Nallampatti Mariamman Kovil Veethi,Concrete,Open well,No,Bore well,Boiling,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",No,"Firewood, LPG",Pressure cooker,No,Directly to ground,Yes,Yes
98,11.342676,77.536478,7,Nallampatti Mariamman Kovil Veethi,Concrete,Both,Yes,Bore well,Personal RO,No,,"Rice, Vegetables",Nil,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
99,11.34306,77.536213,7,Nallampatti Mariamman Kovil Veethi,Concrete,Both,Yes,Bore well,Nil,No,,"Rice, Vegetables","Brinjal, ladies finger,bitter gourd",LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
100,11.343024,77.536309,7,Nallampatti Mariamman Kovil Veethi,Concrete,Bore well,No,Bore well,Nil,No,,"Rice, Other crops",Sugar cane,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
101,11.343095,77.536966,7,Nallampatti Koththukkarar Veethi,Concrete,Nil,Yes,Panchayat water - Syntex tank,Nil,Yes,No/ Not known,Rice,No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
102,11.343402,77.536459,7,Nallampatti Mariamman Kovil Veethi,Concrete,Nil,Yes,Panchayat water - Syntex tank,Boiling,No,,Nil,Rice,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
103,11.34269,77.536323,7,Nallampatti Mariamman Kovil Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Rice,Rice,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
104,11.344914,77.5374,7,Nallampatti Koththukkarar Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,Nil,,LPG,SS pot,No,Directly to ground,Yes,No
105,11.341967,77.5417,7,Nallampatti Mariamman Kovil Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,Vegetables,"Bottle gourd,brinjal",LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
106,11.343708,77.536749,7,Nallampatti Mariamman Kovil Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
107,11.344345,77.536242,7,Nallampatti Mariamman Kovil Veethi,Concrete,Open well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Vegetables,Nil,LPG,Pressure cooker,No,Farming/ Gardening,No,No
108,11.34406,77.536919,7,Nallampatti Mariamman Kovil Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Boiling,No,,Nil,Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
109,,,7,Nallampatti Mariamman Kovil Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,Yes,Yes,"Vegetables, Rice, Coconut, Banana, Corn, Ground nut, Other crops",No,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
110,11.344104,77.518408,8,West Puthuthottam,Concrete,Open well,Yes,Bore well,Nil,Yes,Yes,Banana,Banana,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
111,11.341478,77.530234,8,Durgaiamman Kovil Veethi,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
112,11.341451,77.533677,8,Durgaiamman Kovil Veethi,Concrete,Bore well,Yes,Bore well,Personal RO,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
113,11.343505,77.52895,8,West Puthuthottam,Concrete,Bore well,No,Bore well,Nil,Yes,Yes,"Rice, Banana, Coconut",Sugar cane,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
114,11.341632,77.533559,8,Durgaiamman Kovil Veethi,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Vegetables,Bottle guard,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
115,11.343162,77.528899,8,Old Thasamputhur,Concrete,Bore well,Yes,Bore well,Nil,Yes,Yes,"Rice, Other crops",Sugar cane,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,No
116,11.34122,77.536033,8,Durgaiamman Kovil Veethi,Concrete,Both,Yes,Canned water,Personal RO,No,,"Vegetables, Ground nut, Coconut, Rice, Other crops",Bottle gurad,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
117,11.342751,77.529144,8,Old Thasamputhur,Concrete,Both,Yes,Open well,Nil,Yes,Yes,"Rice, Vegetables, Banana, Other crops","Turmeric,sugar cane,tomato",LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,No
118,11.34172,77.53475,8,Durgaiamman Kovil Veethi,Concrete,Open well,No,Open well,Nil,Yes,No/ Not known,"Ground nut, Vegetables",Brinjal onion,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
119,11.341161,77.53095,8,Durgaiamman Kovil Veethi,Concrete,Bore well,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana, Corn, Ground nut",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
120,11.342323,77.535928,8,Durgaiamman Kovil Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
121,11.340789,77.533383,8,Pappangkadu Veeramathi Veethi,Concrete,Open well,Yes,Panchyat water - Piped,Boiling,No,,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
122,11.341272,77.533695,8,Pappangkadu Veeramathi Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana, Ground nut, Corn",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
123,11.340366,77.532475,8,Pappangkadu Veeramathi Veethi,Concrete,Open well,Yes,Open well,Boiling,No,,"Rice, Vegetables",,"LPG, Firewood",Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
124,11.342351,77.535794,8,Durgaiamman Kovil Veethi,Concrete,Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana, Corn, Ground nut, Other crops","Bitter gourd,Flat beans","LPG, Firewood",Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
125,11.342252,77.528983,8,Old Thasamputhur,Concrete,Open well,No,Bore well,Nil,Yes,Yes,"Rice, Banana, Coconut",,"LPG, Gobar gas",Pressure cooker,No,Farming/ Gardening,Yes,Yes
126,11.33802,77.520656,9,Masammavur Pomman Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Rice,Shop,"Firewood, LPG",SS pot,No,Directly to ground,No,No
127,11.344116,77.522504,9,Aathikkattur Kamarajar Veethi,Concrete,Both,Yes,Bore well,Nil,Yes,Yes,Other crops,Sugarcane,LPG,Pressure cooker,Yes,Farming/ Gardening,Yes,Yes
128,11.339571,77.526292,9,Masammavur Pomman Veethi,Concrete,Open well,Yes,Bore well,Nil,Yes,Yes,Coconut,Coconut,LPG,Pressure cooker,Yes,Farming/ Gardening,Yes,Yes
129,11.343802,77.519483,9,Masammavur Pomman Veethi,Concrete,Both,Yes,Bore well,Boiling,Yes,No/ Not known,"Banana, Coconut, Corn, Other crops",,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
130,,,9,Thasamputhur Kotthukarar Veethi,Concrete,Both,Yes,Bore well,Nil,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
131,,,9,Thasamputhur Kotthukarar Veethi,Concrete,Open well,No,Open well,Nil,Yes,No/ Not known,"Banana, Ground nut",Sugar cane,LPG,Aluminium pot,No,Farming/ Gardening,Yes,Yes
132,11.339184,77.525693,9,Thasaiyar Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Coconut, Banana, Other crops",Stick yam,LPG,SS pot,No,Directly to ground,Yes,Yes
133,11.339373,77.526139,9,Thasamputhur Kotthukarar Veethi,Concrete,Both,Yes,Panchyat water - Piped,Nil,Yes,Yes,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
134,11.339594,77.520073,9,Masammavur Pomman Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Vegetables,,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
135,11.338214,77.525841,9,Thasaiyar Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,Yes,Coconut,Nil,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
136,11.33998,77.527725,9,Masammavur Pomman Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Farming/ Gardening,No,No
137,11.339466,77.526506,9,Thasaiyar Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
