Latitude,Longitude,Ward,Street Name,Source_of_drinking,Processed_for_Drinking,Grey Water Discharge,Presence of Toilet
11.359916,77.537582,4,Pattaththarasiamman Kovil Street,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,No
11.359916,77.537582,4,Pattaththarasiamman Kovil Street,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,No
11.341338,77.537967,4,Pattaththarasiamman Kovil Street,Panchayat water - Syntex tank,Personal RO,Directly to soakpit/ sewage canal,No
11.341443,77.538388,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342211,77.538309,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Personal RO,Farming/ Gardening,No
11.342211,77.538309,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.341393,77.538138,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.34206,77.53786,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.341446,77.538372,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.341463,77.53805,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.341989,77.53789,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.341453,77.537652,5,Pattatharasiamman kovil street,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.341453,77.537652,5,Pattatharasiamman kovil street,Open well,Boiling,Directly to soakpit/ sewage canal,No
11.341146,77.537524,5,Pattatharasiamman kovil street,Open well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.341441,77.537563,5,Pattatharasiamman kovil street,Open well,Boiling,Directly to soakpit/ sewage canal,Yes
11.340822,77.536868,5,Gandhi Veethi,Open well,Boiling,Directly to ground,Yes
11.340863,77.535674,5,Gandhi Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.341244,77.536883,5,Gandhi Veethi,Panchyat water - Piped,Boiling,Farming/ Gardening,Yes
11.341453,77.537652,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.341299,77.536828,5,Gandhi Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.341299,77.536828,5,Gandhi Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.341342,77.536768,5,Gandhi Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.34154,77.536873,5,Gandhi Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.341467,77.537078,5,Gandhi Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343394,77.536996,6,Pillaiyarkovil Veethi,Bore well,Nil,Directly to ground,Yes
11.343394,77.536996,6,Pillaiyarkovil Veethi,Bore well,Nil,Directly to ground,Yes
11.340535,77.534655,6,Pillaiyarkovil Veethi,Bore well,Nil,Directly to ground,Yes
11.340535,77.534655,6,Pillaiyarkovil Veethi,Open well,Nil,Farming/ Gardening,Yes
11.342173,77.537148,6,Pillaiyarkovil Veethi,Panchayat water - Overhead tank,Boiling,Directly to ground,Yes
11.342533,77.537089,6,Pillaiyarkovil Veethi,Panchayat water - Overhead tank,Personal RO,Directly to ground,Yes
11.342533,77.5370789,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.344042,77.537025,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.342897,77.536976,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.343804,77.537618,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,Yes
11.342435,77.537169,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.341369,77.536857,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Personal RO,Farming/ Gardening,Yes
11.342601,77.536866,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.343465,77.544208,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.343173,77.537673,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343763,77.537499,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,Yes
11.342917,77.536097,7,Nallampatti Mariamman Kovil Veethi,Bore well,Boiling,Directly to ground,Yes
11.342676,77.536478,7,Nallampatti Mariamman Kovil Veethi,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.34306,77.536213,7,Nallampatti Mariamman Kovil Veethi,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.343024,77.536309,7,Nallampatti Mariamman Kovil Veethi,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.343095,77.536966,7,Nallampatti Koththukkarar Veethi,Panchayat water - Syntex tank,Nil,Directly to soakpit/ sewage canal,Yes
11.343402,77.536459,7,Nallampatti Mariamman Kovil Veethi,Panchayat water - Syntex tank,Boiling,Directly to soakpit/ sewage canal,Yes
11.34269,77.536323,7,Nallampatti Mariamman Kovil Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.344914,77.5374,7,Nallampatti Koththukkarar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.341967,77.5417,7,Nallampatti Mariamman Kovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343708,77.536749,7,Nallampatti Mariamman Kovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.344345,77.536242,7,Nallampatti Mariamman Kovil Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,No
11.34406,77.536919,7,Nallampatti Mariamman Kovil Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.34406,77.536919,7,Nallampatti Mariamman Kovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.344104,77.518408,8,West Puthuthottam,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.341478,77.530234,8,Durgaiamman Kovil Veethi,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.341451,77.533677,8,Durgaiamman Kovil Veethi,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.343505,77.52895,8,West Puthuthottam,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.341632,77.533559,8,Durgaiamman Kovil Veethi,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.343162,77.528899,8,Old Thasamputhur,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.34122,77.536033,8,Durgaiamman Kovil Veethi,Canned water,Personal RO,Directly to soakpit/ sewage canal,Yes
11.342751,77.529144,8,Old Thasamputhur,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.34172,77.53475,8,Durgaiamman Kovil Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.341161,77.53095,8,Durgaiamman Kovil Veethi,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.342323,77.535928,8,Durgaiamman Kovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.340789,77.533383,8,Pappangkadu Veeramathi Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.341272,77.533695,8,Pappangkadu Veeramathi Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.340366,77.532475,8,Pappangkadu Veeramathi Veethi,Open well,Boiling,Directly to soakpit/ sewage canal,Yes
11.342351,77.535794,8,Durgaiamman Kovil Veethi,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.342252,77.528983,8,Old Thasamputhur,Bore well,Nil,Farming/ Gardening,Yes
11.33802,77.520656,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.344116,77.522504,9,Aathikkattur Kamarajar Veethi,Bore well,Nil,Farming/ Gardening,Yes
11.339571,77.526292,9,Masammavur Pomman Veethi,Bore well,Nil,Farming/ Gardening,Yes
11.343802,77.519483,9,Masammavur Pomman Veethi,Bore well,Boiling,Farming/ Gardening,Yes
11.339373,77.526139,9,Thasamputhur Kotthukarar Veethi,Bore well,Nil,Farming/ Gardening,Yes
11.339373,77.526139,9,Thasamputhur Kotthukarar Veethi,Open well,Nil,Farming/ Gardening,Yes
11.339184,77.525693,9,Thasaiyar Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.339373,77.526139,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.339594,77.520073,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.338214,77.525841,9,Thasaiyar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.33998,77.527725,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,No
11.339466,77.526506,9,Thasaiyar Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.340414,77.525965,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.337118,77.519838,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.339648,77.526191,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.339455,77.519953,9,Masammavur Pomman Veethi,Panchyat water - Piped,Personal RO,Directly to ground,Yes
11.339919,77.526292,9,Thasaiyar Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.33998,77.527725,9,Aathikkattur Kamarajar Veethi,Bore well,Nil,Farming/ Gardening,Yes
11.348143,77.523425,9,Aathikkattur Kamarajar Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.342958,77.524247,9,Aathikkattur Kamarajar Veethi,Open well,Nil,Directly to ground,Yes
11.338346,77.520848,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.337893,77.520419,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.337322,77.5371,10,Naduvalasu Kothukarar Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.340866,77.535434,10,Annamaar Veethi Main Road,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.341615,77.538387,10,Naduvalasu Kothukarar Veethi,Bore well,Personal RO,Farming/ Gardening,Yes
11.341026,77.536488,10,Annamaar Veethi Main Road,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.341421,77.537042,10,Annamaar Veethi Main Road,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.34026,77.534601,10,Annamaar Veethi Main Road,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.341615,77.538387,10,Naduvalasu Kothukarar Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.336116,77.543133,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Boiling,Directly to soakpit/ sewage canal,Yes
11.340781,77.536997,10,Annamaar Veethi Main Road,Panchayat water - Syntex tank,Nil,Directly to soakpit/ sewage canal,Yes
11.331958,77.543491,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.341421,77.537042,10,Annamaar Veethi Main Road,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.335042,77.542417,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.346408,77.531667,10,Annamaar Veethi Main Road,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336638,77.537415,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.33715,77.537749,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.340456,77.536895,10,Annamaar Veethi Main Road,Panchayat water - Syntex tank,Personal RO,Directly to soakpit/ sewage canal,Yes
11.336927,77.53757,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.332986,77.543133,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,Yes
11.340234,77.5366,10,Annamaar Veethi Main Road,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.339835,77.540625,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.340353,77.54499,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.340353,77.54499,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.34048,77.543684,11,Ricemill Puthur Colony,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.342059,77.54385,11,Ricemill Puthur Colony,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,No
11.340497,77.544661,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.340652,77.543764,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.339835,77.540625,11,Ricemill Puthur Colony,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.340717,77.544895,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.340663,77.544686,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.342609,77.543985,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.340054,77.544748,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.34011,77.544346,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.342422,77.544208,11,Ricemill Puthur Colony,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,No
11.342422,77.544208,11,Ricemill Puthur Colony,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,Yes
11.337366,77.543194,12,Oonjakadu,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.339835,77.540625,12,Naduvalasu Cashier Veethi,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.336512,77.553187,12,Manakkattu Puthur Pillaiyarkovil veethi,Bore well,Boiling,Directly to ground,Yes
11.335253,77.55036,12,Manakkattu Puthur Pillaiyarkovil veethi,Bore well,Nil,Directly to ground,Yes
11.337304,77.543155,12,Naduvalasu Cashier Veethi,Bore well,Nil,Directly to ground,Yes
11.337304,77.543155,12,Naduvalasu Cashier Veethi,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.336381,77.537623,12,Naduvalasu Cashier Veethi,Panchayat water - Overhead tank,Boiling,Farming/ Gardening,Yes
11.335993,77.537225,12,Naduvalasu Cashier Veethi,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.335696,77.537057,12,Naduvalasu Cashier Veethi,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.335331,77.53762,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.336116,77.537741,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.336076,77.537179,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336099,77.537835,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.335593,77.537432,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,Yes
11.335593,77.537289,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,Yes
11.335754,77.537769,12,Naduvalasu Nehru Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.333694,77.53525,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.335693,77.537473,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.335693,77.537473,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336156,77.537683,12,Naduvalasu Nehru Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336029,77.537326,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
